Participant,participant,Time,Neutral_Low_CS,Happy_Low_CS,Neutral_Low_ZM,Happy_Low_ZM,Neutral_High_CS,Happy_High_CS,Neutral_High_ZM,Happy_High_ZM
P10,P10,0.35547,0.857639684,0.8132419198,0.6913010677,0.8083553542,0.6816787754,0.8723627694,0.8161499929,0.7882942127
P10,P10,0.35596,0.8841790524,0.7810366943,0.5760083383,0.8442466064,0.6870583999,0.8681239573,0.8747138859,0.7955305472
P10,P10,0.35645,0.9261486895,0.8093236782,0.5775594183,0.7563374933,0.7260586423,0.8518593286,0.9034232324,0.7114257146
P10,P10,0.35693,0.9256363341,0.8437877399,0.6555956195,0.7823902784,0.7787723637,0.8348532701,0.7965459826,0.6586570902
P10,P10,0.35742,0.9150925482,0.8239950061,0.6929756457,0.859280789,0.8378968294,0.8103000149,0.8179973942,0.9154190164
P10,P10,0.35791,0.9731384784,0.7632178917,0.6482672675,0.8699533819,0.8978737318,0.7933284928,0.8464031226,0.9832832953
P10,P10,0.3584,0.9966013386,0.7343805487,0.6560235859,0.8351255742,0.8979521045,0.7807255431,0.7676930071,0.915755865
P10,P10,0.35889,0.9643515355,0.7292802114,0.7740018002,0.8784673872,0.9328667173,0.7713278827,0.7026597817,0.9764161979
P10,P10,0.35938,0.934331106,0.7303107791,0.8382077844,0.8973710223,0.9802282809,0.7724600414,0.6992553857,1.04639678
P10,P10,0.35986,0.9352887905,0.6958375095,0.8602879693,0.8227259213,0.9644774209,0.7318409863,0.7234003483,0.9597831307
P10,P10,0.36035,0.9197764712,0.7182431541,0.7824077768,0.7921533135,0.8987499482,0.6858863342,0.6986473776,0.8851444528
P10,P10,0.36084,0.9046309269,0.7229368444,0.6875558841,0.6589751019,0.8680701599,0.6374640988,0.7710869708,0.9451857236
P10,P10,0.36133,0.9207457233,0.6822471007,0.7490807024,0.6198600779,0.9228738198,0.6964446071,0.8851618419,0.9023577203
P10,P10,0.36182,0.8772833906,0.6748285825,0.7187763107,0.6127659414,0.929658008,0.7647019923,0.8708020943,0.9497222314
P10,P10,0.3623,0.8865216907,0.7341175006,0.6745920897,0.6386024919,0.8806308026,0.8161730036,0.7673949491,1.001687963
P10,P10,0.36279,0.9107131709,0.7577233778,0.6876421548,0.7317810476,0.8011807666,0.9191949582,0.7762779315,0.9651531559
P10,P10,0.36328,0.9019209802,0.7867701065,0.72065056,0.7992308113,0.7428315832,0.9658131062,0.9090081864,0.8959705738
P10,P10,0.36377,0.8859333781,0.7941001334,0.7303417909,0.8058335168,0.7164767862,0.9409920598,0.9387657637,0.9180673839
P10,P10,0.36426,0.8259727086,0.8218486026,0.7109687405,0.8476547255,0.722827473,0.9247211324,0.8602211274,0.9670483031
P10,P10,0.36475,0.7801024849,0.852509388,0.7112597735,0.8590960516,0.7007016907,0.9168936295,0.8240651471,0.9279588201
P10,P10,0.36523,0.8043526806,0.8464672298,0.7320203329,0.831256239,0.727820696,0.8835270681,0.8210295974,0.8855113387
P10,P10,0.36572,0.8199183321,0.8315843282,0.7980199887,0.7680651827,0.7963249889,0.8355084674,0.784906785,0.8496268327
P10,P10,0.36621,0.8272105559,0.8213859159,0.8071728946,0.7598042778,0.84530897,0.7779996163,0.7878138041,0.7773135914
P10,P10,0.3667,0.8469215956,0.8062413839,0.8186920812,0.7666710472,0.8792251515,0.8010005027,0.844991137,0.7453013951
P10,P10,0.36719,0.8321245588,0.8093225649,0.8141765355,0.7911876691,0.8999547645,0.7808907366,0.8969298233,0.6928041096
P10,P10,0.36768,0.7990437573,0.8023888977,0.72935269,0.8389485445,0.8717990808,0.7325702511,0.9197712285,0.7242722529
P10,P10,0.36816,0.7526813347,0.7810171034,0.6036550528,0.8410652202,0.8321527746,0.7471883624,0.7945292512,0.7027325291
P10,P10,0.36865,0.7126129523,0.778860058,0.6087469763,0.8014547815,0.8041308493,0.7785964278,0.7963296802,0.8170219851
P10,P10,0.36914,0.7757086023,0.7786332102,0.692935842,0.7489681752,0.7701499361,0.8725974521,0.8089609558,0.8593182718
P10,P10,0.36963,0.8332539829,0.7905563299,0.7502864882,0.7363833157,0.7751314713,0.8948584383,0.8383258446,0.8072185785
P10,P10,0.37012,0.8326028442,0.8222641902,0.6960447574,0.7386153305,0.7789709363,0.8488610955,0.8579303098,0.7680744628
P10,P10,0.37061,0.8494168935,0.8240091145,0.6905111645,0.750932144,0.8029070331,0.8848891399,0.7850910536,0.7411541469
P10,P10,0.37109,0.9076423671,0.8144851527,0.7030888039,0.7444761143,0.8372919324,0.9685883516,0.7101251578,0.8032973506
P10,P10,0.37158,0.8945961941,0.8036564017,0.7208186458,0.7769520798,0.9234647891,1.040245577,0.6685289899,0.9828658387
P10,P10,0.37207,0.8795618079,0.8032962871,0.7542094793,0.7944358527,1.038920721,1.052966287,0.744690691,1.126177707
P10,P10,0.37256,0.8888106352,0.7804764372,0.7764507043,0.7261990541,1.123340695,0.9532829,0.7695714729,1.082746208
P10,P10,0.37305,0.8933008513,0.7702786492,0.7510316267,0.6403899122,1.074499551,0.8272049986,0.7700677123,0.9661915282
P10,P10,0.37354,0.9088632246,0.7790593127,0.7245461296,0.7085356629,1.001436991,0.7228634891,0.7545353523,0.8408873335
P10,P10,0.37402,0.939165705,0.7726221604,0.6363507491,0.7281249879,0.9189167825,0.7742010343,0.7040454307,1.05921433
P10,P10,0.37451,0.9564327279,0.7639526341,0.7058397213,0.7293699639,0.891383483,0.8278647969,0.6890739747,1.08982326
P10,P10,0.375,0.9329348102,0.7976167355,0.7655999882,0.7498793931,0.9089069338,0.8971483534,0.7526646971,1.027067713
P10,P10,0.37549,0.9065063118,0.8208263679,0.6842290392,0.7096308976,0.9184461815,0.9434493397,0.7797878957,0.9825384165
P10,P10,0.37598,0.8984980928,0.8415567976,0.6886381818,0.6587142599,0.9274756577,0.9986001013,0.8006418615,0.9180501138
P10,P10,0.37646,0.8657875796,0.8333017224,0.6647069032,0.6717137437,0.9204860097,1.084635678,0.8251411145,0.7666702053
P10,P10,0.37695,0.849516925,0.8460065046,0.6901218213,0.7061649863,0.8560927305,1.049111356,0.8699806593,0.7857224671
P10,P10,0.37744,0.8572350266,0.8717841612,0.7577908135,0.7020516375,0.837529082,0.9579066362,0.9169095559,0.8725016712
P10,P10,0.37793,0.9013359248,0.8956063864,0.7527123485,0.7010899125,0.8834648805,0.826288977,0.8571048373,0.8285398284
P10,P10,0.37842,0.9212247884,0.9305584546,0.7127145973,0.683788124,0.9342118983,0.7176805307,0.86145244,0.7920318252
P10,P10,0.37891,0.9331689073,0.9778507861,0.7238114328,0.8203882208,0.9635697081,0.6926213899,0.8596645403,0.888956964
P10,P10,0.37939,0.9319323755,0.9747424247,0.6765929539,0.9351216737,0.911800158,0.6607409309,0.856378645,0.9504895344
P10,P10,0.37988,0.8835476881,0.9705621609,0.7046136779,0.8764585733,0.8885342514,0.6347577514,0.7771831973,0.9309234946
P10,P10,0.38037,0.8631019534,0.9579725708,0.7905429236,0.7810236944,0.893056913,0.6833777011,0.7327868286,0.9121972291
P10,P10,0.38086,0.8847089572,0.9327595562,0.8588988809,0.6785417586,0.9629200998,0.8388263508,0.7553756417,0.7979805183
P10,P10,0.38135,0.8794955119,0.8573398841,0.890403938,0.6696269263,0.9812091598,0.9334572928,0.7840571768,0.8028969772
P10,P10,0.38184,0.854075592,0.7790675094,0.9185635655,0.7763061863,0.9302727842,0.8689661966,0.7359011356,0.8515072369
P10,P10,0.38232,0.9079304069,0.7881900294,0.9002574885,0.7770750518,0.9392750678,0.7877783575,0.7461088056,0.8634168704
P10,P10,0.38281,0.9670000613,0.8134242153,0.8110749775,0.757875855,0.944604455,0.723732065,0.8529979964,0.8188735663
P10,P10,0.3833,0.9765356531,0.8269641214,0.7337517311,0.7757151941,0.9296821021,0.726569285,0.9284421029,0.7774132693
P10,P10,0.38379,0.8710759327,0.8249532816,0.650808175,0.7320847093,0.8767137288,0.7991514772,0.8674786613,0.766423829
P10,P10,0.38428,0.7769935844,0.7466232566,0.6885518694,0.7534928904,0.8874249566,0.851780906,0.7244798059,0.8049948547
P10,P10,0.38477,0.7762295209,0.7319233747,0.7126144665,0.7576236663,0.8677011371,0.8770078636,0.6941352674,0.7789568386
P10,P10,0.38525,0.8155826334,0.8002168987,0.7004260074,0.8084835976,0.8516553525,0.849429876,0.7160246892,0.7749505277
P10,P10,0.38574,0.8336009041,0.8559818613,0.6740576529,0.7627459009,0.8956984,0.7874071135,0.694717154,0.8382147868
P10,P10,0.38623,0.8551269335,0.8560643841,0.679829141,0.6600406273,0.9578847817,0.7940486687,0.7693898059,0.8185331901
P10,P10,0.38672,0.8602544636,0.8332296998,0.6510807721,0.6485377159,0.9559172452,0.7847213517,0.8443658131,0.7321320286
P10,P10,0.38721,0.8338021199,0.8449576849,0.6643632177,0.6797832887,0.9116440347,0.7552984424,0.8087476725,0.8401569337
P10,P10,0.3877,0.8415919667,0.8167274266,0.678070084,0.7234054396,0.9212935208,0.7735779539,0.7986911919,0.9829972996
P10,P10,0.38818,0.8904128661,0.7867135597,0.6484261142,0.755616966,0.9226339637,0.7543581877,0.9264150539,1.012065569
P10,P10,0.38867,0.9343900813,0.7746621689,0.6633382381,0.7326754507,0.9042120577,0.8096017944,1.095996178,0.9297188457
P10,P10,0.38916,0.9662597683,0.7680629343,0.66867385,0.716061804,0.8671889931,0.8535143999,0.9886436143,0.8898896672
P10,P10,0.38965,0.9717326894,0.7623653461,0.6432909671,0.7629697603,0.8934257561,0.8126462847,0.807579755,0.8135809884
P10,P10,0.39014,0.9514014968,0.7919259189,0.6762525512,0.7505145719,0.8508577145,0.8021231574,0.8777831852,0.9011026009
P10,P10,0.39062,0.9150075802,0.841913072,0.6524471262,0.7299980787,0.8435048321,0.7583459188,0.9474456672,0.9016097375
P10,P10,0.39111,0.8772271204,0.8921168139,0.6970839999,0.7457471432,0.8905631358,0.7671534453,0.9204964486,0.7650409009
P10,P10,0.3916,0.902394704,0.9269452856,0.7182147653,0.7824395105,0.8745660523,0.7954484281,0.837480663,0.608801855
P10,P10,0.39209,0.9192109936,0.9122545929,0.6810617719,0.7667168154,0.8692039368,0.7956853821,0.7886765341,0.72194268
P10,P10,0.39258,0.9469535956,0.9267416817,0.6311416682,0.7935822687,0.9127395598,0.830957675,0.8880758281,0.8769060786
P10,P10,0.39307,0.929631872,0.9787817675,0.6729433911,0.7859117274,0.9185579623,0.8975825361,0.9412441311,0.9203442663
P10,P10,0.39355,0.8463009908,1.000302617,0.6903809105,0.8482464848,0.8824446736,0.9601171794,0.8782226381,0.8325332572
P10,P10,0.39404,0.8494546633,1.020757513,0.6701590067,0.9101056726,0.8893929049,1.029506625,0.7818660769,0.8237460131
P10,P10,0.39453,0.8771845565,1.002225095,0.6403654437,0.8758642636,0.8984295053,1.02725934,0.8679054747,0.9076811124
P10,P10,0.39502,0.9029347153,0.9766779788,0.5968171102,0.8337626548,0.9080566854,0.9779410475,0.936315062,0.8749718557
P10,P10,0.39551,0.8675677688,0.8745364147,0.6532197884,0.8238859588,0.9110314302,0.9782209899,0.9132155219,0.7813580866
P10,P10,0.396,0.7910097183,0.7774420272,0.6727805645,0.7871146377,0.8978454246,1.013150376,0.8753600699,0.7326005247
P10,P10,0.39648,0.767327448,0.6835634677,0.7040454772,0.7419989836,0.9309501234,1.027557937,0.8294636665,0.833655498
P10,P10,0.39697,0.7660382582,0.6248656932,0.7413432863,0.7108004705,0.9874761248,1.016761992,0.8302043974,0.8799865025
P10,P10,0.39746,0.8273566724,0.6907354286,0.8083294135,0.7487599069,1.030377668,1.003179477,0.8997402817,0.8080268379
P10,P10,0.39795,0.9076419865,0.7141082238,0.8825083226,0.7539553761,1.053816494,0.9131136393,0.9987576244,0.7619643479
P10,P10,0.39844,0.929760943,0.712140615,0.814035977,0.7513994238,1.002210712,0.8443212629,0.9886611553,0.9174653308
P10,P10,0.39893,0.9616708494,0.721811006,0.7435204969,0.7543022499,0.9178202442,0.8352832422,0.8363818296,1.109622679
P10,P10,0.39941,1.017998834,0.7625229958,0.7471073503,0.7425648134,0.9089013311,0.8949825647,0.7159233225,1.069041389
P10,P10,0.3999,0.9824072293,0.8295994188,0.7187717598,0.8001452649,0.9897935937,0.9454640019,0.7515821711,0.8957170542
